District,Borewell_ID,Borewell_Depth_ft,Water_Table_Depth_ft,Pump_Age_years,Daily_Usage_hours,Soil_Type,Region_Type,Annual_Rainfall_mm,Maintenance_Frequency_per_year,Motor_Temperature_C,Vibration_Level_mms,Voltage_Fluctuation_pct,Water_Yield_LPH,Casing_Pipe_Age_years,Failure_Risk_Score,Failure_Risk_Category,Failure_Within_6Months
Srikakulam,BW-SRI-00045,201.7,34.7,7.6,11.0,Sandy Clay,Coastal Andhra,300,2,66.7,3.88,14.0,2580,10.4,80.5,High,1
Srikakulam,BW-SRI-00046,281.2,27.0,12.3,10.2,Sandy Clay,Coastal Andhra,725.8,3,73.9,4.81,13.4,2563,12.5,100.0,High,0
Srikakulam,BW-SRI-00047,346.1,48.9,3.1,6.7,Sandy Loam,Coastal Andhra,378.5,1,55.7,2.13,1.4,2129,2.8,34.2,Low,0
Srikakulam,BW-SRI-00048,243.1,16.6,3.6,7.2,Sandy Clay,Coastal Andhra,721.9,3,56.5,1.1,12.5,3660,3.1,41.9,Medium,1
Srikakulam,BW-SRI-00049,333.0,22.3,13.7,6.4,Sandy Clay,Coastal Andhra,808.4,0,68.2,3.03,3.6,2316,12.6,85.9,High,1
Srikakulam,BW-SRI-00050,242.4,25.9,11.9,9.6,Sandy Clay,Coastal Andhra,612.3,2,69.6,4.01,13.1,2615,11.6,98.8,High,1
Srikakulam,BW-SRI-00051,255.2,25.8,1.7,9.3,Sandy Loam,Coastal Andhra,571.2,3,56.1,0.48,6.8,3017,3.1,31.5,Low,0
Srikakulam,BW-SRI-00052,195.2,18.7,2.9,9.8,Sandy Loam,Coastal Andhra,525.3,3,54.4,2.12,7.6,2713,0,41.0,Medium,0
Srikakulam,BW-SRI-00053,397.1,25.9,0.1,2.9,Sandy Loam,Coastal Andhra,345.4,2,43.7,1.65,8.4,3160,0.7,21.5,Low,0
Srikakulam,BW-SRI-00054,369.1,30.7,5.5,9.5,Sandy Loam,Coastal Andhra,458.2,3,53.4,3.31,8.8,2177,3.5,45.0,Medium,0
Srikakulam,BW-SRI-00055,365.6,20.8,5.0,7.1,Sandy Clay,Coastal Andhra,572.9,3,54.5,2.51,1.9,2249,9.2,48.6,Medium,0
Srikakulam,BW-SRI-00056,437.7,28.3,7.0,6.8,Sandy Loam,Coastal Andhra,300,3,55.1,2.91,12.6,2834,3.9,54.4,Medium,0
Srikakulam,BW-SRI-00057,380.4,33.1,7.1,9.9,Sandy Loam,Coastal Andhra,598.2,1,62.5,3.18,8.5,3078,6.2,71.1,High,0
Srikakulam,BW-SRI-00058,239.7,36.1,0.2,9.5,Sandy Clay,Coastal Andhra,526.7,0,58.3,0.16,6.1,2617,0,36.6,Medium,0
Srikakulam,BW-SRI-00059,367.3,23.4,5.9,10.7,Sandy Loam,Coastal Andhra,509.9,1,59.6,4.52,12.3,3387,6.4,73.0,High,0
Srikakulam,BW-SRI-00060,106.9,15.2,8.0,7.2,Sandy Clay,Coastal Andhra,379.5,1,58.3,3.95,4.9,3083,7.2,60.8,Medium,1
Srikakulam,BW-SRI-00061,203.0,27.3,12.7,10.0,Sandy Clay,Coastal Andhra,520.0,1,67.6,7.89,10.0,2503,12.6,100.0,High,1
Srikakulam,BW-SRI-00062,227.0,33.1,2.6,6.3,Sandy Clay,Coastal Andhra,433.7,1,56.1,0.67,10.5,3072,5.4,55.6,Medium,1
Srikakulam,BW-SRI-00063,328.3,25.7,0.8,9.0,Sandy Clay,Coastal Andhra,300,2,55.9,0.39,3.0,2271,1.4,28.0,Low,0
Srikakulam,BW-SRI-00064,294.6,24.5,11.4,5.4,Sandy Loam,Coastal Andhra,303.3,3,63.4,4.6,9.9,2809,4.4,73.6,High,0
Srikakulam,BW-SRI-00065,330.8,35.2,7.2,12.6,Sandy Loam,Coastal Andhra,455.6,1,58.2,4.21,4.7,2744,9.2,75.5,High,1
Srikakulam,BW-SRI-00066,284.3,30.1,6.0,3.9,Sandy Loam,Coastal Andhra,529.9,2,58.1,3.53,14.3,2876,7.5,64.5,Medium,1
Srikakulam,BW-SRI-00067,316.8,30.0,0.4,4.9,Sandy Clay,Coastal Andhra,300,0,51.1,1.48,11.9,2620,2.5,37.9,Medium,1
Srikakulam,BW-SRI-00068,285.2,41.1,6.9,6.8,Sandy Loam,Coastal Andhra,577.8,3,64.5,4.39,11.9,2632,3.5,60.2,Medium,0
Srikakulam,BW-SRI-00069,197.1,43.4,3.0,7.4,Sandy Clay,Coastal Andhra,508.9,1,58.8,1.89,7.1,2789,4.8,50.9,Medium,1
Srikakulam,BW-SRI-00070,322.5,31.4,8.8,9.8,Sandy Clay,Coastal Andhra,649.9,1,58.7,4.12,10.0,2898,9.7,76.0,High,1
Srikakulam,BW-SRI-00071,149.5,28.3,0.4,9.7,Sandy Clay,Coastal Andhra,445.7,2,44.8,1.86,0.0,2867,0,19.9,Low,0
Srikakulam,BW-SRI-00072,227.0,28.4,0.7,4.5,Sandy Loam,Coastal Andhra,525.0,3,47.3,0.56,0.0,2394,0.7,7.0,Low,0
Srikakulam,BW-SRI-00073,342.6,36.5,1.3,10.8,Sandy Loam,Coastal Andhra,717.4,0,58.0,2.42,9.4,2651,4.1,62.5,Medium,0
Srikakulam,BW-SRI-00074,306.9,39.1,3.6,14.5,Sandy Loam,Coastal Andhra,376.2,1,61.8,3.47,5.9,3433,4.4,64.4,Medium,0
Srikakulam,BW-SRI-00075,289.7,28.9,1.3,8.6,Sandy Clay,Coastal Andhra,469.1,0,53.4,2.0,1.3,2504,0.3,44.2,Medium,0
Srikakulam,BW-SRI-00076,446.3,16.1,7.8,7.9,Sandy Clay,Coastal Andhra,596.1,2,62.4,2.7,8.7,3202,10.0,73.2,High,1
Srikakulam,BW-SRI-00077,306.0,32.6,1.2,7.1,Sandy Loam,Coastal Andhra,481.2,1,46.3,1.72,12.2,2301,1.8,37.9,Medium,0
Parvathipuram Manyam,BW-PAR-00078,368.5,14.1,8.9,7.2,Sandy Clay,Coastal Andhra,586.7,0,62.5,3.31,2.9,2320,5.8,67.6,High,0
Parvathipuram Manyam,BW-PAR-00079,314.6,17.7,1.1,14.2,Sandy Loam,Coastal Andhra,538.2,4,57.0,0.64,5.8,2698,0.5,27.7,Low,0
Parvathipuram Manyam,BW-PAR-00080,95.2,25.0,0.3,9.4,Sandy Loam,Coastal Andhra,472.9,3,51.0,1.78,9.6,2746,0.6,25.6,Low,0
Parvathipuram Manyam,BW-PAR-00081,292.5,22.9,7.1,14.0,Sandy Loam,Coastal Andhra,601.1,3,59.4,4.14,9.8,2445,7.0,77.6,High,1
Parvathipuram Manyam,BW-PAR-00082,208.9,26.8,44.7,7.2,Sandy Clay,Coastal Andhra,720.2,4,93.2,15.0,3.1,2766,46.7,100.0,High,1
Parvathipuram Manyam,BW-PAR-00083,182.8,25.4,0.0,3.7,Sandy Loam,Coastal Andhra,391.1,2,44.8,0.4,6.8,2648,0,9.8,Low,0
Parvathipuram Manyam,BW-PAR-00084,471.6,18.9,2.9,11.4,Sandy Clay,Coastal Andhra,438.6,1,61.0,0.2,1.9,3353,3.0,46.8,Medium,0
Parvathipuram Manyam,BW-PAR-00085,356.0,29.2,18.7,9.2,Sandy Clay,Coastal Andhra,554.8,1,71.3,6.54,10.2,2455,18.2,100.0,High,1
Parvathipuram Manyam,BW-PAR-00086,401.1,25.8,2.2,10.3,Sandy Loam,Coastal Andhra,561.3,1,52.2,2.62,7.4,3285,5.2,49.6,Medium,1
Parvathipuram Manyam,BW-PAR-00087,301.3,11.7,19.8,7.8,Sandy Loam,Coastal Andhra,634.1,1,75.8,8.59,8.6,2747,22.6,100.0,High,1
Parvathipuram Manyam,BW-PAR-00088,420.7,13.2,11.0,10.3,Sandy Loam,Coastal Andhra,542.0,2,63.6,5.07,13.0,2503,10.4,100.0,High,1
Parvathipuram Manyam,BW-PAR-00089,212.5,28.6,11.9,7.6,Sandy Loam,Coastal Andhra,724.4,0,59.9,5.39,14.5,3292,11.5,90.8,High,1
Parvathipuram Manyam,BW-PAR-00090,415.5,18.0,3.4,11.3,Sandy Clay,Coastal Andhra,613.8,1,50.7,2.95,5.9,2467,5.4,46.3,Medium,0
Parvathipuram Manyam,BW-PAR-00091,205.4,24.7,0.4,10.1,Sandy Clay,Coastal Andhra,724.8,4,59.4,1.52,3.2,2654,0,29.1,Low,0
Parvathipuram Manyam,BW-PAR-00092,323.1,16.5,4.6,5.3,Sandy Loam,Coastal Andhra,513.4,4,53.6,3.37,2.4,2744,4.4,43.5,Medium,0
Parvathipuram Manyam,BW-PAR-00093,248.1,25.9,0.8,9.7,Sandy Clay,Coastal Andhra,449.0,1,50.5,1.14,4.4,2668,1.8,35.6,Medium,0
Parvathipuram Manyam,BW-PAR-00094,71.8,15.6,5.5,8.1,Sandy Clay,Coastal Andhra,524.8,3,62.2,3.69,12.7,2581,7.2,63.1,Medium,1
Parvathipuram Manyam,BW-PAR-00095,197.8,28.7,2.5,8.5,Sandy Clay,Coastal Andhra,873.2,1,52.5,2.41,6.8,2215,2.6,43.7,Medium,1
Parvathipuram Manyam,BW-PAR-00096,252.7,19.5,0.2,8.2,Sandy Clay,Coastal Andhra,300,1,54.9,0.38,9.2,2703,1.2,28.4,Low,0
Parvathipuram Manyam,BW-PAR-00097,406.9,22.7,0.4,6.8,Sandy Clay,Coastal Andhra,503.8,0,50.6,1.27,6.8,2743,0,32.9,Low,0
Parvathipuram Manyam,BW-PAR-00098,344.3,12.1,5.9,10.8,Sandy Loam,Coastal Andhra,562.0,0,59.6,1.38,12.0,3136,0.8,60.4,Medium,0
Parvathipuram Manyam,BW-PAR-00099,69.8,19.8,0.1,5.6,Sandy Clay,Coastal Andhra,458.1,1,43.8,3.27,7.9,2309,1.8,29.9,Low,0
Parvathipuram Manyam,BW-PAR-00100,427.1,23.0,2.8,1.2,Sandy Loam,Coastal Andhra,385.5,5,50.4,2.73,6.4,3022,1.1,31.3,Low,0
Parvathipuram Manyam,BW-PAR-00101,425.4,34.8,0.4,8.2,Sandy Loam,Coastal Andhra,605.9,3,49.6,2.4,6.2,2446,0,18.1,Low,0
Parvathipuram Manyam,BW-PAR-00102,314.3,16.0,1.1,5.9,Sandy Loam,Coastal Andhra,697.0,2,45.8,2.95,5.0,2773,1.7,24.8,Low,0
Parvathipuram Manyam,BW-PAR-00103,389.8,29.5,4.5,10.8,Sandy Loam,Coastal Andhra,644.3,6,56.0,1.16,7.2,2265,3.2,32.5,Low,0
Parvathipuram Manyam,BW-PAR-00104,247.7,22.6,13.1,10.7,Sandy Clay,Coastal Andhra,723.1,5,69.7,6.05,7.4,2559,10.4,97.3,High,1
Parvathipuram Manyam,BW-PAR-00105,219.0,27.6,10.2,3.5,Sandy Clay,Coastal Andhra,645.3,4,59.7,4.96,1.0,3180,10.3,66.6,High,1
Parvathipuram Manyam,BW-PAR-00106,270.6,22.4,1.7,5.4,Sandy Loam,Coastal Andhra,663.8,2,53.2,0.44,13.8,2907,1.3,41.8,Medium,1
Parvathipuram Manyam,BW-PAR-00107,326.5,18.1,19.0,4.7,Sandy Loam,Coastal Andhra,479.4,1,67.3,7.7,0.0,2179,16.1,100.0,High,1
Parvathipuram Manyam,BW-PAR-00108,375.8,12.2,9.5,5.5,Sandy Clay,Coastal Andhra,762.5,2,71.5,5.57,16.0,3241,9.9,97.0,High,1
Parvathipuram Manyam,BW-PAR-00109,392.5,24.4,0.5,6.6,Sandy Loam,Coastal Andhra,525.6,4,47.8,1.01,4.5,2851,0.2,8.8,Low,0
Parvathipuram Manyam,BW-PAR-00110,433.1,16.2,6.1,8.8,Sandy Loam,Coastal Andhra,803.6,2,59.5,1.95,14.2,2996,5.4,53.0,Medium,1
Parvathipuram Manyam,BW-PAR-00111,265.1,32.7,11.1,6.4,Sandy Clay,Coastal Andhra,602.1,2,49.9,4.82,6.5,3014,12.1,74.5,High,1
Parvathipuram Manyam,BW-PAR-00112,293.6,16.4,8.4,8.4,Sandy Loam,Coastal Andhra,565.4,0,57.0,3.18,7.2,2695,9.1,74.8,High,1
Parvathipuram Manyam,BW-PAR-00113,413.1,22.0,9.0,5.8,Sandy Clay,Coastal Andhra,589.6,0,50.9,3.12,3.5,2840,9.0,62.8,Medium,0
Parvathipuram Manyam,BW-PAR-00114,214.3,11.9,7.9,9.7,Sandy Loam,Coastal Andhra,489.3,4,60.7,4.69,4.8,2411,5.7,62.7,Medium,0
Parvathipuram Manyam,BW-PAR-00115,285.8,22.0,7.4,8.3,Sandy Clay,Coastal Andhra,523.6,2,70.1,2.39,16.0,2500,5.7,77.7,High,1
Parvathipuram Manyam,BW-PAR-00116,396.7,22.9,0.3,9.8,Sandy Clay,Coastal Andhra,716.9,1,47.3,1.17,4.9,2757,0,29.1,Low,0
Parvathipuram Manyam,BW-PAR-00117,274.5,31.5,4.6,8.0,Sandy Loam,Coastal Andhra,357.7,5,58.9,3.79,8.8,2908,2.7,53.9,Medium,0
Parvathipuram Manyam,BW-PAR-00118,351.7,25.0,1.0,10.0,Sandy Clay,Coastal Andhra,511.9,3,55.5,2.31,5.9,2635,3.0,29.8,Low,0
Parvathipuram Manyam,BW-PAR-00119,401.7,24.6,20.5,7.9,Sandy Clay,Coastal Andhra,555.0,2,77.7,10.81,11.9,2904,21.0,100.0,High,1
Parvathipuram Manyam,BW-PAR-00120,321.6,18.0,11.7,12.0,Sandy Loam,Coastal Andhra,557.6,2,67.6,2.88,13.2,2603,12.0,98.3,High,1
Parvathipuram Manyam,BW-PAR-00121,330.3,31.1,0.6,6.8,Sandy Clay,Coastal Andhra,723.5,2,59.3,0.72,14.1,2967,0,39.1,Medium,0
Parvathipuram Manyam,BW-PAR-00122,206.3,27.4,2.4,8.6,Sandy Clay,Coastal Andhra,516.3,2,62.3,2.76,11.1,2110,1.5,52.6,Medium,1
Parvathipuram Manyam,BW-PAR-00123,294.7,28.5,12.3,10.0,Sandy Loam,Coastal Andhra,461.5,3,58.7,3.17,8.6,2686,13.7,84.9,High,1
Parvathipuram Manyam,BW-PAR-00124,262.0,20.1,8.1,9.3,Sandy Loam,Coastal Andhra,684.1,5,62.9,3.41,5.9,2949,7.7,61.3,Medium,0
Parvathipuram Manyam,BW-PAR-00125,241.2,22.6,0.1,7.1,Sandy Clay,Coastal Andhra,691.5,2,54.9,0.86,14.8,2866,0,41.0,Medium,1
Parvathipuram Manyam,BW-PAR-00126,381.9,27.2,0.7,9.5,Sandy Clay,Coastal Andhra,499.0,3,53.7,2.82,0.7,2636,2.7,33.8,Low,0
Parvathipuram Manyam,BW-PAR-00127,441.6,34.2,7.3,3.2,Sandy Loam,Coastal Andhra,546.6,0,55.2,3.72,0.0,3138,7.5,60.4,Medium,0
Parvathipuram Manyam,BW-PAR-00128,286.9,19.4,1.8,1.4,Sandy Loam,Coastal Andhra,525.9,0,43.9,1.46,5.2,2271,0.9,27.9,Low,0
Parvathipuram Manyam,BW-PAR-00129,273.4,22.8,0.0,5.7,Sandy Clay,Coastal Andhra,558.2,3,53.6,0.25,10.7,2643,0,18.5,Low,0
Parvathipuram Manyam,BW-PAR-00130,371.1,24.3,7.3,3.5,Sandy Clay,Coastal Andhra,387.7,3,56.4,3.56,11.6,3081,5.9,59.9,Medium,1
Parvathipuram Manyam,BW-PAR-00131,68.9,17.8,2.8,5.0,Sandy Clay,Coastal Andhra,550.5,1,53.4,2.38,5.4,2420,2.4,46.0,Medium,0
Parvathipuram Manyam,BW-PAR-00132,344.4,26.1,12.4,9.1,Sandy Clay,Coastal Andhra,440.2,1,64.8,5.01,8.4,2595,11.2,85.0,High,1
Parvathipuram Manyam,BW-PAR-00133,324.7,8.7,7.8,9.3,Sandy Clay,Coastal Andhra,697.5,3,65.3,3.67,5.3,2978,9.7,69.4,High,0
Parvathipuram Manyam,BW-PAR-00134,197.5,9.9,5.2,3.0,Sandy Loam,Coastal Andhra,444.8,3,53.1,3.86,7.1,3079,7.8,52.7,Medium,1
Parvathipuram Manyam,BW-PAR-00135,209.0,23.2,2.2,12.8,Sandy Clay,Coastal Andhra,574.3,1,55.1,2.38,9.1,2608,4.1,53.0,Medium,0
Parvathipuram Manyam,BW-PAR-00136,310.4,23.6,0.2,6.9,Sandy Clay,Coastal Andhra,546.4,1,57.3,0.75,14.4,2935,0.0,39.0,Medium,0
Parvathipuram Manyam,BW-PAR-00137,128.3,12.1,2.5,8.4,Sandy Clay,Coastal Andhra,449.8,4,49.0,0.77,4.5,2702,0.1,23.5,Low,0
Parvathipuram Manyam,BW-PAR-00138,287.4,15.8,3.5,15.0,Sandy Loam,Coastal Andhra,429.9,4,59.3,2.08,10.0,3450,3.1,44.6,Medium,1
Parvathipuram Manyam,BW-PAR-00139,435.8,26.5,12.2,6.8,Sandy Clay,Coastal Andhra,497.6,0,64.2,4.16,11.5,2674,12.8,99.6,High,1
Parvathipuram Manyam,BW-PAR-00140,373.8,10.2,2.0,5.8,Sandy Loam,Coastal Andhra,704.2,2,53.6,2.12,8.9,3049,3.3,41.0,Medium,0
Parvathipuram Manyam,BW-PAR-00141,265.3,33.7,13.4,1.0,Sandy Loam,Coastal Andhra,812.3,2,64.3,6.91,7.0,2786,14.6,88.9,High,1
Parvathipuram Manyam,BW-PAR-00142,347.0,19.4,1.4,10.6,Sandy Clay,Coastal Andhra,664.5,0,54.1,1.81,10.1,3074,0.3,50.7,Medium,0
Parvathipuram Manyam,BW-PAR-00143,319.6,29.1,5.7,5.4,Sandy Clay,Coastal Andhra,380.6,0,53.2,2.44,1.5,2609,5.6,49.0,Medium,0
Parvathipuram Manyam,BW-PAR-00144,278.5,9.3,0.5,8.0,Sandy Loam,Coastal Andhra,558.1,1,48.3,0.7,5.2,3041,3.4,25.2,Low,0
Parvathipuram Manyam,BW-PAR-00145,263.6,31.0,2.3,7.6,Sandy Loam,Coastal Andhra,300,4,62.3,2.81,8.7,2570,0,40.5,Medium,1
Parvathipuram Manyam,BW-PAR-00146,331.5,31.2,9.8,16.3,Sandy Loam,Coastal Andhra,574.4,1,61.2,4.23,0.9,2569,11.9,85.2,High,1
Parvathipuram Manyam,BW-PAR-00147,270.8,19.4,1.9,8.5,Sandy Loam,Coastal Andhra,676.5,1,51.0,1.29,4.5,2439,1.2,28.9,Low,0
Parvathipuram Manyam,BW-PAR-00148,222.9,32.6,13.3,7.6,Sandy Loam,Coastal Andhra,569.6,2,74.2,4.5,15.9,2874,15.0,100.0,High,1
Parvathipuram Manyam,BW-PAR-00149,292.9,25.1,2.1,7.1,Sandy Clay,Coastal Andhra,626.4,1,42.8,1.79,7.5,2353,2.5,29.9,Low,0
Parvathipuram Manyam,BW-PAR-00150,257.0,20.3,8.8,7.0,Sandy Clay,Coastal Andhra,702.1,2,62.9,3.26,7.7,2395,11.3,77.4,High,1
Parvathipuram Manyam,BW-PAR-00151,357.5,34.6,2.3,12.9,Sandy Clay,Coastal Andhra,472.0,2,48.8,1.69,2.3,2176,0,24.9,Low,1
Parvathipuram Manyam,BW-PAR-00152,183.1,22.6,4.1,1.0,Sandy Clay,Coastal Andhra,642.0,1,60.5,2.81,7.8,3122,5.7,48.2,Medium,0
Parvathipuram Manyam,BW-PAR-00153,279.7,27.9,0.8,8.6,Sandy Loam,Coastal Andhra,695.1,1,44.2,1.49,5.0,3129,0.3,18.4,Low,0
Parvathipuram Manyam,BW-PAR-00154,297.8,25.8,9.1,5.2,Sandy Clay,Coastal Andhra,488.3,1,64.9,3.63,4.8,2465,4.6,68.1,High,0
Vizianagaram,BW-VIZ-00155,291.0,20.3,19.7,6.0,Sandy Clay,Coastal Andhra,540.7,1,69.5,9.27,4.0,2829,19.3,100.0,High,1
Vizianagaram,BW-VIZ-00156,191.4,32.8,1.8,7.3,Sandy Clay,Coastal Andhra,461.6,2,51.1,3.85,8.6,2149,3.1,43.3,Medium,0
Vizianagaram,BW-VIZ-00157,286.1,15.9,1.9,12.1,Sandy Clay,Coastal Andhra,475.9,2,57.0,2.0,3.1,2707,1.5,40.6,Medium,0
